X,Y,R
0.3,0,1
0.3,-0.04,1
0.287754,-0.083189,1
0.265299,-0.131846,1
0.234975,-0.18721,1
0.198953,-0.249683,1
0.159034,-0.319133,1
0.116619,-0.395142,1
0.072761,-0.477174,1
0.0282343,-0.564666,1
-0.0163945,-0.657077,1
-0.060713,-0.753911,1
-0.104422,-0.854725,1
-0.147303,-0.959123,1
-0.189199,-1.06676,1
-0.229997,-1.17733,1
-0.269613,-1.29056,1
-0.307991,-1.40622,1
-0.34509,-1.5241,1
-0.380881,-1.64401,1
-0.415347,-1.76579,1
-0.448477,-1.88929,1
-0.480266,-2.01438,1
-0.51071,-2.14094,1
-0.539812,-2.26885,1
-0.567574,-2.39803,1
-0.594,-2.52838,1
-0.619095,-2.65982,1
-0.642864,-2.79228,1
-0.665313,-2.92568,1
-0.686447,-3.05996,1
-0.706271,-3.19506,1
-0.724791,-3.33093,1
-0.742009,-3.46751,1
-0.757931,-3.60476,1
-0.772558,-3.74262,1
-0.785894,-3.88105,1
-0.797939,-4.02002,1
-0.808696,-4.15947,1
-0.818162,-4.29938,1
-0.826338,-4.4397,1
-0.833221,-4.58039,1
-0.838809,-4.72143,1
-0.843098,-4.86277,1
-0.846083,-5.00439,1
-0.847758,-5.14624,1
-0.848117,-5.2883,1
-0.847151,-5.43053,1
-0.844851,-5.57289,1
-0.841208,-5.71536,1
-0.836209,-5.8579,1
-0.829843,-6.00047,1
-0.822094,-6.14304,1
-0.812949,-6.28556,1
-0.802389,-6.428,1
-0.790397,-6.57032,1
-0.776953,-6.71247,1
-0.762035,-6.85442,1
-0.745622,-6.99611,1
-0.727687,-7.13748,1
-0.708205,-7.27849,1
-0.687148,-7.41908,1
-0.664484,-7.55919,1
-0.640181,-7.69873,1
-0.614207,-7.83764,1
-0.586524,-7.97584,1
-0.557095,-8.11323,1
-0.525879,-8.2497,1
-0.492837,-8.38515,1
-0.457925,-8.51945,1
-0.421102,-8.65244,1
-0.382326,-8.78398,1
-0.341556,-8.91386,1
-0.298758,-9.04187,1
-0.253902,-9.16777,1
-0.206971,-9.29127,1
-0.157967,-9.41203,1
-0.10692,-9.52967,1
-0.0539004,-9.64371,1
0.000956961,-9.75364,1
0.0574247,-9.85881,1
0.115138,-9.95851,1
0.173532,-10.0519,1
0.231759,-10.1381,1
0.288582,-10.2163,1
0.342272,-10.2857,1
0.390564,-10.346,1
0.430779,-10.3978,1
0.460248,-10.4425,1
0.476993,-10.4831,1
0.480378,-10.5229,1
0.471248,-10.5652,1
0.451503,-10.6126,1
0.423445,-10.6664,1
0.389272,-10.7271,1
0.350839,-10.7948,1
0.309607,-10.8691,1
0.266681,-10.9494,1
0.222878,-11.0352,1
0.178802,-11.126,1
0.134893,-11.2213,1
0.0914733,-11.3206,1
0.0487776,-11.4236,1
0.00697825,-11.5299,1
-0.0337992,-11.6392,1
-0.0734634,-11.7512,1
-0.111948,-11.8656,1
-0.149207,-11.9824,1
-0.185206,-12.1012,1
-0.219923,-12.222,1
-0.253342,-12.3445,1
-0.285455,-12.4687,1
-0.316257,-12.5943,1
-0.345746,-12.7214,1
-0.373921,-12.8498,1
-0.400786,-12.9794,1
-0.426344,-13.1101,1
-0.450597,-13.2418,1
-0.47355,-13.3746,1
-0.495207,-13.5082,1
-0.515571,-13.6428,1
-0.534647,-13.7781,1
-0.552438,-13.9142,1
-0.568945,-14.0509,1
-0.584172,-14.1883,1
-0.59812,-14.3264,1
-0.610789,-14.465,1
-0.62218,-14.6041,1
-0.632291,-14.7437,1
-0.641121,-14.8837,1
-0.648667,-15.0241,1
-0.654926,-15.165,1
-0.659894,-15.3061,1
-0.663564,-15.4476,1
-0.665931,-15.5893,1
-0.666988,-15.7313,1
-0.666725,-15.8735,1
-0.665133,-16.0158,1
-0.662201,-16.1583,1
-0.657917,-16.3009,1
-0.652268,-16.4435,1
-0.64524,-16.5862,1
-0.636816,-16.7289,1
-0.626979,-16.8715,1
-0.61571,-17.0141,1
-0.602988,-17.1565,1
-0.588792,-17.2987,1
-0.573098,-17.4408,1
-0.55588,-17.5825,1
-0.537111,-17.7239,1
-0.516761,-17.865,1
-0.494799,-18.0056,1
-0.471192,-18.1457,1
-0.445904,-18.2852,1
-0.418898,-18.424,1
-0.390134,-18.5621,1
-0.35957,-18.6993,1
-0.327163,-18.8356,1
-0.292869,-18.9707,1
-0.256642,-19.1046,1
-0.218436,-19.2372,1
-0.178207,-19.3681,1
-0.135915,-19.4972,1
-0.0915241,-19.6243,1
-0.0450097,-19.7491,1
0.00363656,-19.8713,1
0.054398,-19.9904,1
0.107219,-20.106,1
0.161987,-20.2177,1
0.218502,-20.3247,1
0.276435,-20.4263,1
0.33527,-20.5218,1
0.39422,-20.6103,1
0.452125,-20.6907,1
0.507342,-20.7624,1
0.557683,-20.825,1
0.600499,-20.8786,1
0.633052,-20.9248,1
0.653178,-20.9661,1
0.659968,-21.0059,1
0.654015,-21.0475,1
0.637063,-21.0937,1
0.61136,-21.146,1
0.579124,-21.2051,1
0.542261,-21.271,1
0.502286,-21.3435,1
0.460358,-21.4221,1
0.417341,-21.5063,1
0.373873,-21.5955,1
0.330425,-21.6892,1
0.28734,-21.7871,1
0.244873,-21.8886,1
0.20321,-21.9936,1
0.16249,-22.1015,1
0.122814,-22.2123,1
0.0842544,-22.3256,1
0.0468665,-22.4412,1
0.0106889,-22.559,1
-0.0242509,-22.6787,1
-0.0579337,-22.8002,1
-0.0903467,-22.9234,1
-0.121482,-23.0482,1
-0.151335,-23.1744,1
-0.179904,-23.302,1
-0.207188,-23.4308,1
-0.233189,-23.5607,1
-0.257908,-23.6918,1
-0.281348,-23.8239,1
-0.303512,-23.9569,1
-0.324402,-24.0908,1
-0.34402,-24.2256,1
-0.362369,-24.3611,1
-0.379451,-24.4974,1
-0.395266,-24.6344,1
-0.409815,-24.772,1
-0.423098,-24.9101,1
-0.435114,-25.0489,1
-0.445861,-25.1882,1
-0.455338,-25.3279,1
-0.463541,-25.4681,1
-0.470465,-25.6087,1
-0.476106,-25.7496,1
-0.480458,-25.8909,1
-0.483513,-26.0325,1
-0.485265,-26.1744,1
-0.485703,-26.3165,1
-0.484817,-26.4588,1
-0.482596,-26.6013,1
-0.479028,-26.7439,1
-0.474098,-26.8866,1
-0.467792,-27.0294,1
-0.460092,-27.1722,1
-0.450981,-27.315,1
-0.440439,-27.4577,1
-0.428446,-27.6004,1
-0.414978,-27.7429,1
-0.40001,-27.8852,1
-0.383517,-28.0274,1
-0.36547,-28.1692,1
-0.345838,-28.3107,1
-0.32459,-28.4518,1
-0.301691,-28.5924,1
-0.277103,-28.7324,1
-0.250789,-28.8719,1
-0.222706,-29.0107,1
-0.192811,-29.1486,1
-0.161059,-29.2856,1
-0.127403,-29.4216,1
-0.0917933,-29.5564,1
-0.0541823,-29.6899,1
-0.0145212,-29.8219,1
0.027236,-29.9521,1
0.0711303,-30.0804,1
0.117194,-30.2065,1
0.165445,-30.33,1
0.215879,-30.4506,1
0.268456,-30.5678,1
0.323082,-30.6811,1
0.379585,-30.7899,1
0.437671,-30.8935,1
0.49687,-30.9911,1
0.556455,-31.0817,1
0.615341,-31.1645,1
0.671972,-31.2386,1
0.724241,-31.3034,1
0.769543,-31.359,1
0.805094,-31.4068,1
0.828557,-31.449,1
0.838762,-31.4889,1
0.83604,-31.5301,1
0.82196,-31.5752,1
0.798701,-31.6261,1
0.76849,-31.6835,1
0.733276,-31.7478,1
0.694634,-31.8185,1
0.653772,-31.8954,1
0.611602,-31.9779,1
0.568799,-32.0655,1
0.525862,-32.1577,1
0.483159,-32.2541,1
0.440965,-32.3542,1
0.39948,-32.4578,1
0.358855,-32.5645,1
0.319201,-32.674,1
0.280601,-32.7861,1
0.243115,-32.9006,1
0.206789,-33.0172,1
0.171654,-33.1359,1
0.137735,-33.2564,1
0.105047,-33.3787,1
0.0736018,-33.5025,1
0.043407,-33.6279,1
0.0144669,-33.7546,1
-0.013216,-33.8826,1
-0.0396411,-34.0118,1
-0.0648083,-34.1422,1
-0.0887186,-34.2736,1
-0.111373,-34.4059,1
-0.132773,-34.5392,1
-0.152919,-34.6734,1
-0.171814,-34.8084,1
-0.189456,-34.9442,1
-0.205847,-35.0807,1
-0.220986,-35.2178,1
-0.234873,-35.3556,1
-0.247505,-35.494,1
-0.25888,-35.6329,1
-0.268995,-35.7723,1
-0.277847,-35.9122,1
-0.28543,-36.0525,1
-0.291739,-36.1933,1
-0.296767,-36.3344,1
-0.300507,-36.4758,1
-0.30295,-36.6176,1
-0.304086,-36.7596,1
-0.303905,-36.9018,1
-0.302394,-37.0443,1
-0.299541,-37.1869,1
-0.295331,-37.3297,1
-0.289748,-37.4725,1
-0.282775,-37.6154,1
-0.274394,-37.7584,1
-0.264584,-37.9013,1
-0.253323,-38.0442,1
-0.240588,-38.187,1
-0.226354,-38.3296,1
-0.210593,-38.472,1
-0.193277,-38.6142,1
-0.174373,-38.7561,1
-0.153849,-38.8977,1
-0.131669,-39.0388,1
-0.107795,-39.1794,1
-0.0821865,-39.3195,1
-0.0548005,-39.4589,1
-0.0255918,-39.5975,1
0.00548695,-39.7353,1
0.0384854,-39.8721,1
0.0734548,-40.0078,1
0.110447,-40.1422,1
0.149515,-40.2752,1
0.190709,-40.4065,1
0.234076,-40.536,1
0.279656,-40.6633,1
0.327475,-40.7882,1
