X,Y,R
3,0,5
2.9994,0.059964,5
2.9976,0.119712,5
2.9946,0.17903,5
2.99041,0.237703,5
2.98501,0.29552,5
2.97843,0.352274,5
2.97065,0.40776,5
2.96168,0.461779,5
2.95153,0.514136,5
2.9402,0.564642,5
2.92769,0.613117,5
2.91401,0.659385,5
2.89917,0.703279,5
2.88317,0.744643,5
2.86601,0.783327,5
2.84771,0.819192,5
2.82826,0.852108,5
2.80769,0.881958,5
2.78599,0.908633,5
2.76318,0.932039,5
2.73927,0.95209,5
2.71425,0.968715,5
2.68816,0.981854,5
2.66098,0.991458,5
2.63275,0.997495,5
2.60346,0.999942,5
2.57313,0.99879,5
2.54177,0.994043,5
2.50939,0.985719,5
2.47601,0.973848,5
2.44164,0.958471,5
2.40629,0.939645,5
2.36998,0.917438,5
2.33272,0.891929,5
2.29453,0.863209,5
2.25542,0.831383,5
2.21541,0.796565,5
2.17451,0.758881,5
2.13274,0.718465,5
2.09012,0.675463,5
2.04666,0.630031,5
2.00239,0.582331,5
1.95731,0.532535,5
1.91145,0.480823,5
1.86483,0.42738,5
1.81746,0.372399,5
1.76936,0.316078,5
1.72056,0.258619,5
1.67107,0.20023,5
1.62091,0.14112,5
1.5701,0.0815022,5
1.51866,0.021591,5
1.46662,-0.0383979,5
1.41399,-0.0982486,5
1.36079,-0.157746,5
1.30705,-0.216675,5
1.25278,-0.274825,5
1.19802,-0.331985,5
1.14277,-0.387951,5
1.08707,-0.44252,5
1.03094,-0.495497,5
0.974389,-0.546691,5
0.917451,-0.595917,5
0.860146,-0.642999,5
0.802496,-0.687766,5
0.744526,-0.730058,5
0.686258,-0.769723,5
0.627716,-0.806618,5
0.568922,-0.840609,5
0.509901,-0.871576,5
0.450676,-0.899405,5
0.391271,-0.923998,5
0.331709,-0.945266,5
0.272015,-0.963131,5
0.212212,-0.97753,5
0.152323,-0.988411,5
0.0923744,-0.995735,5
0.0323884,-0.999476,5
-0.0276106,-0.999619,5
-0.0875986,-0.996165,5
-0.147551,-0.989125,5
-0.207445,-0.978526,5
-0.267256,-0.964405,5
-0.32696,-0.946814,5
-0.386533,-0.925815,5
-0.445952,-0.901484,5
-0.505192,-0.873908,5
-0.564231,-0.843188,5
-0.623043,-0.809433,5
-0.681606,-0.772764,5
-0.739897,-0.733315,5
-0.797892,-0.691227,5
-0.855567,-0.646651,5
-0.912901,-0.599747,5
-0.969869,-0.550686,5
-1.02645,-0.499642,5
-1.08262,-0.4468,5
-1.13836,-0.39235,5
-1.19364,-0.336488,5
-1.24844,-0.279415,5
-1.30275,-0.221337,5
-1.35653,-0.162462,5
-1.40977,-0.103002,5
-1.46245,-0.0431719,5
-1.51454,0.0168139,5
-1.56602,0.0767392,5
-1.61688,0.136388,5
-1.6671,0.195547,5
-1.71664,0.254001,5
-1.7655,0.311541,5
-1.81366,0.367961,5
-1.86108,0.423055,5
-1.90777,0.476628,5
-1.95369,0.528485,5
-1.99883,0.57844,5
-2.04317,0.626313,5
-2.08669,0.671932,5
-2.12938,0.715133,5
-2.17121,0.755761,5
-2.21218,0.793668,5
-2.25226,0.828719,5
-2.29145,0.860787,5
-2.32971,0.889758,5
-2.36704,0.915526,5
-2.40343,0.938,5
-2.43886,0.957098,5
-2.47331,0.972751,5
-2.50677,0.984903,5
-2.53922,0.993511,5
-2.57067,0.998543,5
-2.60108,0.999982,5
-2.63045,0.997822,5
-2.65878,0.99207,5
-2.68603,0.982748,5
-2.71222,0.96989,5
-2.73732,0.953541,5
-2.76132,0.93376,5
-2.78422,0.910618,5
-2.806,0.8842,5
-2.82667,0.854599,5
-2.8462,0.821922,5
-2.86459,0.786288,5
-2.88184,0.747824,5
-2.89794,0.706668,5
-2.91287,0.662969,5
-2.92665,0.616884,5
-2.93925,0.568579,5
-2.95067,0.518228,5
-2.96092,0.466012,5
-2.96998,0.412118,5
-2.97785,0.356742,5
-2.98453,0.300081,5
-2.99002,0.242341,5
-2.99431,0.183728,5
-2.99741,0.124454,5
-2.9993,0.0647327,5
-3,0.00477794,5
-2.99949,-0.055194,5
-2.99779,-0.114967,5
-2.99488,-0.174327,5
-2.99078,-0.233059,5
-2.98549,-0.290952,5
-2.97899,-0.347799,5
-2.97131,-0.403393,5
-2.96244,-0.457536,5
-2.95238,-0.510032,5
-2.94115,-0.560693,5
-2.92873,-0.609335,5
-2.91515,-0.655785,5
-2.90039,-0.699875,5
-2.88448,-0.741446,5
-2.86742,-0.780348,5
-2.84921,-0.816442,5
-2.82985,-0.849598,5
-2.80937,-0.879696,5
-2.78776,-0.906628,5
-2.76504,-0.930297,5
-2.74121,-0.950618,5
-2.71629,-0.967518,5
-2.69028,-0.980936,5
-2.66319,-0.990824,5
-2.63504,-0.997146,5
-2.60583,-0.999879,5
-2.57558,-0.999013,5
-2.5443,-0.994553,5
-2.512,-0.986513,5
-2.4787,-0.974922,5
-2.44441,-0.959823,5
-2.40914,-0.94127,5
-2.3729,-0.919329,5
-2.33572,-0.894079,5
-2.2976,-0.865612,5
-2.25856,-0.834029,5
-2.21862,-0.799445,5
-2.1778,-0.761984,5
-2.1361,-0.72178,5
-2.09354,-0.678979,5
-2.05015,-0.633734,5
-2.00594,-0.586208,5
-1.96093,-0.536573,5
-1.91513,-0.485007,5
-1.86857,-0.431695,5
-1.82126,-0.376829,5
-1.77322,-0.320607,5
-1.72447,-0.263232,5
-1.67503,-0.204909,5
-1.62493,-0.145849,5
-1.57417,-0.0862633,5
-1.52278,-0.0263676,5
-1.47078,0.033623,5
-1.4182,0.0934926,5
-1.36504,0.153026,5
-1.31135,0.212008,5
-1.25712,0.270228,5
-1.2024,0.327474,5
-1.14719,0.383543,5
-1.09153,0.438231,5
-1.03542,0.491342,5
-0.978907,0.542684,5
-0.921999,0.592074,5
-0.864722,0.639332,5
-0.807099,0.68429,5
-0.749154,0.726785,5
-0.690909,0.766664,5
